競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	129	4	ダート	1600	5	アポロリヤム　　　　　　　　　　　　	6.8	4	6	7	0.49915824875035886	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	6	ノクターナリティ　　　　　　　　　　	23.3	8	11	5	0.5019630057444062	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	7	アイファーヴァンズ　　　　　　　　　	439.5	15	16	14	0.4905511134825806	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	8	グロリアスヒーロー　　　　　　　　　	28.7	9	7	4	0.5021722876484883	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	9	マスケティアーズ　　　　　　　　　　	204.2	14	13	12	0.4908931047264403	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	10	ヴォルケニック　　　　　　　　　　　	10.6	5	3	3	0.502831434090437	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	11	ネオヒューズ　　　　　　　　　　　　	18.9	7	4	8	0.4949213097909257	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	12	クリノアンカーマン　　　　　　　　　	630.8	16	14	11	0.4910745759206569	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	13	ミヤコプレジール　　　　　　　　　　	56.4	11	15	14	0.4905511134825806	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	14	セイウンオードリー　　　　　　　　　	12.6	6	5	6	0.5002242724265282	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	15	グリュースゴット　　　　　　　　　　	3.6	1	1	1	0.5063215717858766	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	16	コンクエスト　　　　　　　　　　　　	5.3	3	2	14	0.4905511134825806	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	8	ダート	1400	1	ピンクダイヤ　　　　　　　　　　　　	123.2	13	15	16	0.4905511134825806	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	2	リュウグウハヤブサ　　　　　　　　　	96.4	11	12	9	0.497273196783021	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	3	バクシン　　　　　　　　　　　　　　	22.1	6	10	11	0.4933462682089654	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	4	サトノムスタング　　　　　　　　　　	167.6	15	5	15	0.49062019351146546	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	5	フィールザワールド　　　　　　　　　	72.4	9	6	12	0.4910745759206569	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	6	ケイアイメープル　　　　　　　　　　	24.6	7	13	10	0.49430086397763423	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	7	ロゼキルシュ　　　　　　　　　　　　	68.1	8	4	8	0.4984762757169982	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	8	ローヴェロ　　　　　　　　　　　　　	4.7	3	2	6	0.5012398020321717	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
東京	2023	129	8	ダート	1400	9	バルミュゼット　　　　　　　　　　　	3.4	2	3	3	0.5045368401865451	12	1.2	1	8	1.6	3	9	1.3	2	8	12	9.2	8	12	9	12	8	9	4.1	1.8	3.5	12	8	15.1	7.5
