競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	129	12	芝	2000	10	マイネルクリソーラ　　　　　　　　　	2.9	1	2	2	0.5057735361834359	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	11	ポッドヴァイン　　　　　　　　　　　	33.9	6	7	8	0.4741055412884541	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	204	7	芝	1600	1	エンブレムコード　　　　　　　　　　	18.8	7	8	6	0.4768456113631119	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	2	ラッキークローバー　　　　　　　　　	23.5	8	13	13	0.4477928702506001	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	3	ジェットグリッター　　　　　　　　　	250.6	14	12	15	0.4114830442025578	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	4	ウェストファリア　　　　　　　　　　	47.6	9	11	8	0.4643177651619865	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	5	スクルトゥーラ　　　　　　　　　　　	13.6	4	10	11	0.4504624767095896	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	6	モンタナアゲート　　　　　　　　　　	15.2	6	4	3	0.5178894953330218	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	7	ユヌエトワール　　　　　　　　　　　	102.3	11	3	10	0.4577760594197613	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	8	グレイスフル　　　　　　　　　　　　	13.6	5	7	9	0.4610658025248723	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	9	アップストローク　　　　　　　　　　	8.8	3	6	2	0.5354198809995409	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	10	カーペンタリア　　　　　　　　　　　	3.3	2	1	5	0.4868949190920661	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	11	アルファウェーブ　　　　　　　　　　	142.3	12	5	12	0.4482612574869691	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	12	カンパーニャ　　　　　　　　　　　　	70.6	10	9	4	0.5059107318479948	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	13	トロワエスポワール　　　　　　　　　	264.4	15	15	7	0.4695535868721547	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	14	ホウオウプレミア　　　　　　　　　　	2.1	1	2	1	0.5391687300519794	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	7	芝	1600	15	スリールサンセール　　　　　　　　　	237.5	13	14	14	0.427783708267956	10	1.5	2	14	1.1	1	7.0	9.4	11.0	10	14	3.8	10	14	7	10	7	14	2.2	51.1	19.4	10	14	8.0	65.4
東京	2023	204	10	芝	1400	1	ルージュエクレール　　　　　　　　　	2.8	1	7	2	0.5158872430969591	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	2	ジャングルキング　　　　　　　　　　	10.4	5	5	9	0.4634675800751389	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	3	サイモンメガライズ　　　　　　　　　	193.7	10	6	5	0.4865786700763073	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	4	ルルローズ　　　　　　　　　　　　　	10.1	4	3	4	0.4913391761261159	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	5	ファロロジー　　　　　　　　　　　　	38.2	9	1	10	0.4176840899657373	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	6	ベッラノーヴァ　　　　　　　　　　　	3.0	2	8	1	0.5253310917446247	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	7	ジャッジ　　　　　　　　　　　　　　	241.1	11	11	11	0.4165629919336958	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
